name,2020,2021Ab,1,1
Abed,103,104
Abedalrahem,1,1
Abedalrahman,1,1
Abedaraman,0,0
Abedelbaki,0,1
Abedin,7,8
Abeed,0,0
Abeedah,1,1
Abeeha,14,15
Abeel,2,2
Abeer,95,94
Abeera,12,14
Abeerah,2,3
Abel,189,208
Àbel,0,0
Abelardo,1,1
Abeli,0,0
Abelina,1,1
Abeline,13,13
Abella,5,5
Abelline,1,1
Abelone,60,58
Abena,10,11
Abenezer,0,1
Abeng,0,0
Abeni,1,1
Abenna,0,0
Abenno,1,1
Abenaa,1,1
Aberte,0,0
Abey,1,1
Abha,5,5
Abhay,9,8
Abhaya,0,0
Abhi,2,2
Abhiansh,0,0
Abhidharm,1,1
Abhigyan,0,1
Abhijay,1,2
Abhijot,2,2
Abhik,1,1
Abhimanyu,5,5
Abhinav,20,21
Abhiram,3,7
Abhiraaj,1,1
Abhisri,1,0
Abhyanga,0,0
Abhyanth,0,1
Abhyukt,1,0
Abi,6,8
Abia,8,9
Abid,50,51
Abida,61,60
Abide,8,8
Abideen,0,0
Abidev,1,1
Abidin,17,18
Abidullah,1,1
Abidzar,1,1
Abiel,20,22
Abiella,1,2
Abier,11,11
Abieyuwa,1,1
Abigael,12,11
Abigaele,2,2
Abigail,149,154
Abigaile,5,6
Abigaill,1,1
Abigayl,2,2
Abigel,1,1
Abigél,0,0
Abigela,0,0
Abigija,1,1
Abiha,19,19
Abihan,1,1
Abiir,3,3
Abimbola,3,3
Abin,2,3
Abina,7,8
Abinabi,1,2
Abinass,2,2
Abinath,2,2
Abinaya,8,9
Abinayah,1,1
Abineeth,1,1
Abines,2,2
Abinesh,2,3
Abiodun,4,5
Abiola,3,3
Abir,170,174
Abira,3,4
Abirna,1,1
Abisha,8,8
Abishan,4,4
Abisharan,1,1
Abisharni,1,1
Abishaya,1,1
Abishek,7,7
Abishga,1,1
Abishna,1,1
Abithan,3,3
Abiya,1,1
Ablai,0,0
Abna,0,0
Abner,5,5
Abnir,1,1
Abo,2,2
Abobakar,0,0
Abobakr,1,1
Aboker,1,1
Abokoma,0,0
Abokor,3,3
Abonoa,0,0
Aborn,1,1
Abos,1,1
Abou,3,3
Aboubacar,5,5
Aboud,7,8
Abqari,0,1
Abra,1,1
Abrafi,1,1
Abraha,0,0
Abraham,124,122
Abrahamthaitak,0,0
Abrana,0,0
Abrar,35,34
Abrianna,2,2
Abriel,0,0
Abriella,1,1
Abrielle,0,1
Abril,5,6
Abrish,2,1
Abriz,1,1
Abraar,3,3
Abraaz,1,1
Absalom,0,1
Absalon,55,60
Abshir,27,27
Absuge,0,0
Abtidan,0,0
Abtin,14,15
Abu,45,46
Abubakar,30,33
Abubakarr,1,1
Abubaker,14,15
Abubakr,8,9
Abubaqar,0,0
Abubea,0,0
Abubeker,2,2
Abukar,24,23
Abul,10,10
Abulfazal,1,1
Abulfazl,2,2
Abuobaida,1,0
Abuobeida,0,1
Abuthahir,0,0
Abutrab,1,1
Abuzer,4,5
Aby,2,3
Abya,1,2
Abygail,2,2
Abynabi,3,3
Abyaan,1,2
Abaalhassan,1,1
Abaas,6,6
Acacia,7,7
Acacie,1,1
Acasia,0,0
Acaylia,1,1
Accaka,1,1
Acchaya,1,1
Ace,17,19
Acelia,0,2
Acelya,20,21
Acem,0,0
Acen,0,0
Acentia,1,1
Acer,2,3
Acere,0,0
Acha,2,2
Achadia,0,0
Achaemenes,0,0
Achaia,1,1
Achal,1,1
Achan,2,2
Achasenwi,0,0
Achena,3,3
Achieng,0,0
Achille,7,8
Achilles,9,10
Achilleus,1,1
Achillus,0,0
Achim,24,22
Achindiba,0,0
Achiraya,2,2
Achmed,1,1
Achmet,1,1
Achola,0,0
Achraf,22,21
Achton,6,7
Achyutah,1,1
Aci,0,0
Aciano,1,1
Acile,2,2
Acksel,1,1
Aco,5,5
Acton,1,1
Actonia,0,0
Ada,331,367
Adaeze,1,3
Adah,2,2
Adahan,0,0
Adaigbo,0,0
Adair,1,1
Adal,6,7
Aðalbjörg,0,0
Adaleine,1,1
Adalena,4,5
Adalet,25,26
Adaleta,5,5
Aðalgeir,0,0
Aðalheiður,0,0
Adalie,3,2
Adalin,2,2
Adalina,11,11
Adalyn,0,0
Adam,6246,6518
Ádám,0,0
Adama,26,27
Adamangelo,0,0
Adamartur,0,1
Adamas,2,4
Adamisak,2,1
Adamm,0,0
Adamma,2,2
Adamos,0,0
Adams,3,3
Adamsejr,1,0
Adan,42,42
Adane,1,1
Adanma,0,0
Adanna,1,1
Adannaya,0,0
Adaora,1,1
Adar,33,33
Adara,2,2
Adarsha,1,1
Adas,9,8
Adbiel,0,0
Adda,116,117
Addalina,0,1
Addi,37,36
Addie,55,57
Addin,1,1
Addis,8,10
Addison,7,8
Addiz,1,1
Addo,0,0
Addú,0,0
Adduha,1,1
Addy,90,88
Ade,4,4
Adea,20,21
Adebayo,0,1
Adebisi,0,0
Adede,1,1
Adedola,1,1
Adedolapo,0,0
Adee,0,0
Adeeba,6,5
Adeefa,1,1
Adeel,54,58
Adeem,1,1
Adeen,2,2
Adeena,6,7
Adefolahan,0,0
Adekanye,0,0
Adel,290,291
Adela,124,124
Adelaida,7,7
Adelaide,30,31
Adelaine,0,0
Adelbert,3,3
Adele,79,79
Adèle,0,0
Adeleine,1,1
Adelelena,0,0
Adelelia,1,1
Adelen,0,0
Adelena,5,6
Adelene,4,4
Adeleye,0,0
Adelfine,0,0
Adelgunde,0,0
Adelhaid,0,0
Adelhart,0,0
Adelheid,22,23
Adelhejd,0,0
Adelia,10,10
Adélia,0,0
Adelie,2,2
Adélie,0,0
Adeliin,1,1
Adelin,5,8
Adelina,121,126
Adeline,37,43
Adelinn,0,0
Adelinne,0,0
Adelisa,20,20
Adelka,0,0
Adella,0,0
Adellana,1,1
Adelle,4,4
Aðelmargret,0,0
Adelona,1,1
Adelyn,4,4
Adem,424,434
Ademide,1,1
Ademir,5,5
Aden,32,33
Adena,0,0
Adeola,0,1
Adepa,0,0
Adera,1,1
Aderomoluwa,0,1
Adeshina,0,1
Adesola,0,0
Adessa,0,0
Adetokunbo,2,2
Adeyemi,1,1
Adham,71,75
Adhemar,0,0
Adhina,1,1
Adhira,2,2
Adhiraj,0,0
Adhirath,0,1
Adhiya,2,2
Adhrit,2,2
Adhvan,0,1
Adhvik,1,1
Adhya,2,2
Adhyayan,1,1
Adi,96,96
Adia,6,6
Adiam,7,8
