Akulla,0,0
Akullu,0,0
Akutaaneq,0,0
Akuvi,0,0
Akuye,0,0
Akva,0,0
Akvilé,3,3
Akwanui,0,0
Akyedezi,0,0
Alaba,0,0
Alabdin,0,0
Alabedin,0,0
Alabidin,0,0
Alaïa,1,1
Alakshiya,0,0
Alamea,0,0
Alamer,0,0
Alanyuy,0,0
Alasca,0,0
Alassane,0,0
Alaxandra,0,0
Alayla,0,0
Albantine,0,0
Albatina,0,0
Alberk,0,0
Alberthine,0,0
Albertinus,0,0
Alberttoni,0,0
Albijona,0,0
Albret,0,0
Albrikdina,0,0
Aldah,0,0
Aldeen,0,0
Alder,0,0
Aldís,5,4
Alecshan,0,0
Aleera,0,0
Alegría,0,0
Aleixia,0,0
Aleksandrine,0,0
Aleksandrovna,0,0
Aleksanteri,0,0
Alensia,0,0
Alensio,0,0
Alesandru,0,0
Alethea,0,0
Aletheia,0,0
Alewa,0,0
Alexio,0,0
Alexsha,0,0
Alfadhl,0,0
Alfarizki,0,0
Alfath,0,0
Alfdis,0,0
Álfgrímur,0,1
Álfheiður,1,2
Álfhildur,4,4
Alfkil,0,0
Alfrede,0,0
Alfride,0,0
Álfþór,0,0
Alfuseni,0,0
Algea,0,0
Algoth,0,0
Alhadi,0,0
Alhaj,0,0
Alhami,0,0
Alhuda,0,0
Alhutatawi,0,0
Alian,0,0
Aliasgar,0,0
Alibashi,0,0
Aliceritta,0,0
Alichan,0,0
Alichran,0,0
Alievich,0,0
Alimama,0,0
Aliman,0,0
Alinde,0,0
Alinaasir,0,0
Alisiya,0,0
Alitta,0,0
Alitza,0,0
Alizabeth,0,0
Alizé,0,0
Aliaana,0,0
Alkadham,0,0
Alkarem,0,0
Alkari,0,0
Alkarim,0,0
Alkast,0,0
Alkiona,0,0
Allena,0,0
Allend,0,0
Allessandro,0,0
Allezzi,0,0
Allicce,0,0
Allinda,0,0
Alliyan,0,0
Allmas,0,0
Allvin,0,0
Allydia,0,0
Almae,0,0
Almalinda,0,0
Almaluzia,0,0
Almand,0,0
Almera,0,0
Almotawakel,0,0
Alodia,0,0
Aloha,0,0
Aloïse,0,0
Alopha,0,0
Álora,0,1
Alosova,0,0
Aloutte,0,0
Alpagu,0,0
Alph,0,0
Alqayyum,0,0
Alraffi,0,0
Alrahman,0,0
Alreda,0,0
Alryda,0,0
Alsham,0,0
Alten,0,0
Alum,0,0
Alunan,0,0
Alune,0,0
Aluoch,0,0
Alvá,1,1
Alvabjörk,1,1
Alvad,0,0
Alvamarie,0,0
Alvanna,0,0
Álvaro,7,11
Alvea,0,0
Alverd,0,0
Alvett,0,0
Alviah,0,0
Alvid,0,0
Alvide,0,0
Alvig,0,0
Alvildemeta,0,0
Álvur,1,1
Alwi,0,0
Alysza,0,0
Alyaan,0,0
Alzaydan,0,0
